KEY	Burklab_ID
327090A	NYDH0928
325580A	NYDH0882
549410B	NYDH0880
549010B	NYDH0847
324970A	NYDH0911
137490B	NYDH1044
133430A	NYDH1042
135420A	NYDH1207
136250A	NYDH0988
332120A	NYDH1235
327400A	NYDH1271
331080A	NYDH0213
327540A	NYDH0595
445830A	NYDH0258
445570A	NYDH0301
133570B	NYDH1440
136520A	NYDH1338
138170A	NYDH1343
139330B	NYDH1304
221540B	NYDH1336
134370B	NYDH1413
223020A	NYDH1396
326840B	NYDH1311
325070B	NYDH1309
331920A	NYDH1231
550110A	NYDH1210
549270A	NYDH1120
326420A	NYDH1104
221320A	NYDH0931
220160A	NYDH0963
221760B	NYDH1052
141460A	NYDH1107
444840A	NYDH1274
223910B	NYDH1124
330750A	NYDH1132
331810B	NYDH1222
550630A	NYDH1333
550630B	NYDH1332
550600A	NYDH1378
330220A	NYDH1195
330220B	NYDH1228
550420A	NYDH1434
549560A	NYDH0760
549250A	NYDH0516
549200A	NYDH0513
328780B	NYDH0643
325980A	NYDH0515
549180A	NYDH0759
136800A	NYDH1415
140360B	NYDH1353
221540A	NYDH1366
444420B	NYDH1342
444420A	NYDH1341
444360B	NYDH1301
447480A	NYDH0681
447360A	NYDH0638
447430A	NYDH0730
135360A	NYDH0873
137770A	NYDH0955
135310B	NYDH0957
135160A	NYDH0503
447040A	NYDH0793
446620A	NYDH0635
135700A	NYDH0627
324650A	NYDH0655
324650B	NYDH0654
324510A	NYDH0653
326080A	NYDH0776
326230B	NYDH0749
330680A	NYDH0940
220180B	NYDH0173
223510B	NYDH0522
220550B	NYDH0532
220580B	NYDH0550
220550A	NYDH0624
221930A	NYDH0203
325200A	NYDH0442
443970B	NYDH1412
223530A	NYDH0558
222040B	NYDH0527
221130A	NYDH0777
221060A	NYDH0885
220620A	NYDH1123
224310A	NYDH1203
443600A	NYDH0598
139880A	NYDH0407
140620A	NYDH0223
330850B	NYDH1460
447810B	NYDH1512
443560A	NYDH0202
140100A	NYDH0406
442140A	NYDH1258
135760B	NYDH1165
442800A	NYDH0545
442960A	NYDH0439
442980B	NYDH0398
328330A	NYDH0170
325030A	NYDH0348
332100A	NYDH0356
324930A	NYDH0274
330950A	NYDH0181
328680A	NYDH0179
332700A	NYDH0186
135700B	NYDH0626
140870A	NYDH0539
140020A	NYDH0366
444590B	NYDH1259
441690A	NYDH1297
448900A	NYDH0157
329450A	NYDH0499
332850B	NYDH0393
444750A	NYDH0197
137700A	NYDH0962
330500A	NYDH0069
325470A	NYDH0060
328360A	NYDH0095
549770A	NYDH1036
331940B	NYDH0106
332630A	NYDH0240
447340A	NYDH0230
444240B	NYDH0805
444240A	NYDH0804
222070A	NYDH0091
221870B	NYDH0216
221970B	NYDH0362
221970A	NYDH0361
222870A	NYDH0399
223450A	NYDH0038
223550B	NYDH0438
